name,style,ABV,IBU,rating,raters,brewery_URL,rank
Sex and Candy,IPA - American,7.5,,3.83,10417.0,https://untappd.com/18thStreetBrewery,1
Hunter,Stout - Milk / Sweet,8.0,,4.03,8483.0,https://untappd.com/18thStreetBrewery,2
Rise of the Angels,IPA - Imperial / Double,7.7,,3.95,8402.0,https://untappd.com/18thStreetBrewery,3
Temporal Purgatory,Pale Ale - American,5.9,,3.91,7669.0,https://untappd.com/18thStreetBrewery,4
Candi Crushable,IPA - Session / India Session Ale,5.5,,3.75,7045.0,https://untappd.com/18thStreetBrewery,5
Deal With The Devil,IPA - Imperial / Double,8.5,75.0,4.11,5906.0,https://untappd.com/18thStreetBrewery,6
Jade,Pale Ale - American,7.2,,3.82,6190.0,https://untappd.com/18thStreetBrewery,7
Bitches' Bank,Stout - Russian Imperial,12.0,,4.29,5339.0,https://untappd.com/18thStreetBrewery,8
Imperial Blud,Stout - Russian Imperial,10.5,,4.25,4977.0,https://untappd.com/18thStreetBrewery,9
Grapefruit Dead,IPA - Imperial / Double,8.6,75.0,4.08,4353.0,https://untappd.com/18thStreetBrewery,10
Villain,IPA - Imperial / Double,8.4,,4.03,4354.0,https://untappd.com/18thStreetBrewery,11
Cascade Express,IPA - Session / India Session Ale,5.0,,3.66,4570.0,https://untappd.com/18thStreetBrewery,12
Under Crown,IPA - Imperial / Double,8.6,80.0,4.1,3856.0,https://untappd.com/18thStreetBrewery,13
Black Exodus,Stout - Oatmeal,7.7,,3.89,3868.0,https://untappd.com/18thStreetBrewery,14
Devil's Conclave,Stout - Milk / Sweet,8.2,,4.08,3906.0,https://untappd.com/18thStreetBrewery,15
Sinister,IPA - Imperial / Double,9.5,,4.03,3277.0,https://untappd.com/18thStreetBrewery,16
Lake Street Express,IPA - Session / India Session Ale,4.7,,3.76,3127.0,https://untappd.com/18thStreetBrewery,17
The Fox And the Goat,Pale Ale - American,5.31,,3.81,3377.0,https://untappd.com/18thStreetBrewery,18
Cone Crusher,IPA - Imperial / Double,8.6,,3.94,2850.0,https://untappd.com/18thStreetBrewery,19
Zero Discipline,IPA - Imperial / Double,8.0,,4.16,2906.0,https://untappd.com/18thStreetBrewery,20
"Oh, So Pretty",Saison / Farmhouse Ale,6.1,,3.68,3034.0,https://untappd.com/18thStreetBrewery,21
Ed-PA,IPA - English,6.2,,3.71,2571.0,https://untappd.com/18thStreetBrewery,22
Here Comes the Reaper,IPA - American,6.3,,3.93,2667.0,https://untappd.com/18thStreetBrewery,23
Psychedelic Lines,IPA - English,7.5,,3.76,2430.0,https://untappd.com/18thStreetBrewery,24
Devil's Cup,Pale Ale - American,6.6,,3.83,2153.0,https://untappd.com/18thStreetBrewery,25
Howdy Neighbor,Kölsch,5.2,25.0,3.69,2921.0,https://untappd.com/350Brewing,1
Crook ,IPA - American,6.9,65.0,3.79,2136.0,https://untappd.com/350Brewing,2
I Hate Mondays,Porter - Other,9.5,,4.11,1419.0,https://untappd.com/350Brewing,3
Stupid Kid,Pale Ale - American,5.5,45.0,3.69,1424.0,https://untappd.com/350Brewing,4
Heavy Metal Garbage Man,IPA - Imperial / Double,8.6,90.0,3.77,918.0,https://untappd.com/350Brewing,5
DreamSickle,Fruit Beer,5.666,20.0,3.72,774.0,https://untappd.com/350Brewing,6
Ruckus,Golden Ale,4.8,22.0,3.43,816.0,https://untappd.com/350Brewing,7
Pokinatcha,IPA - American,7.5,70.0,3.84,635.0,https://untappd.com/350Brewing,8
Kick The Can,Cream Ale,5.5,20.0,3.32,513.0,https://untappd.com/350Brewing,9
Coconut Cream Dream,Stout - Milk / Sweet,8.0,,4.06,433.0,https://untappd.com/350Brewing,10
Rated R Bumper Car,IPA - Imperial / Double,10.5,140.0,4.01,428.0,https://untappd.com/350Brewing,11
