,brewID,brewery,address,city,state,neighborhood,website,features,coord,coord2,inChicago,latitude,longitude,hasTapRoom,hasTour,hasKitchen,untappdURL
0,1hd3,18th Street Brewery – Hammond,5417 N. Oakley Ave.,Hammond,IN,,http://www.18thstreetbrewery.com/,kitchen & beer,"-87.517525,41.6156",98416802.0,no,41.6156,-87.517525,no,no,yes,https://untappd.com/18thStreetBrewery
1,1hy5,18th Street Brewery – Gary,5725 Miller Ave.,Gary,IN,,http://www.18thstreetbrewery.com/,kitchen & beer,"-87.26886,41.599365",98428122.0,no,41.599365,-87.26886,no,no,yes,https://untappd.com/18thStreetBrewery
2,2W.3,25 West Brewing Co.,2 Stratford Dr.,Bloomingdale,IL,,https://www.facebook.com/25WestBrew/,,"-88.11923,41.950455",112710728.0,no,41.950455,-88.11923,no,no,no,https://untappd.com/w/25-west-brewing-co/391402
3,3 .2,350 Brewing Co.,7144 W. 183rd St.,Tinley Park,IL,,https://350brewing.com,kitchen & beer,"-87.791595,41.55857",638598086.0,no,41.55857,-87.791595,no,no,yes,https://untappd.com/350Brewing
4,3l.6,3 Floyds Brewing Co.,9750 Indiana Pkwy.,Munster,IN,,http://www.3floyds.com/,"kitchen & beer, tour","-87.515755,41.536514",98443594.0,no,41.536514000000004,-87.515755,no,yes,yes,https://untappd.com/3floyds
5,5aa5,5 Rabbit Cervecería,6399 W. 74th St.,Bedford Park,IL,,http://www.5rabbitbrewery.com,tour,"-87.78018,41.757576",111811263.0,no,41.757576,-87.78018,no,yes,no,https://untappd.com/5Rabbit
6,5tg3,51st Ward Brewing,,Westmont,IL,,https://twitter.com/51stwardbeer,,,,no,,,no,no,no,https://untappd.com/51stWardBeer
7,9 .8,9th Hour Brewing Co.,,Lindenhurst,IL,,http://www.9thhourbrewing.com/,,,,no,,,no,no,no,https://untappd.com/9thHourBrewing
8,A .6,All Rise Brewing Co.,235 N. Ashland Ave.,Chicago,IL,West Loop,https://www.facebook.com/allrisebrewing,kitchen & beer,"-87.667,41.886288",111765451.0,yes,41.886288,-87.667,no,no,yes,https://untappd.com/AllRiseBrewing
9,Ae.6,Afterthought Brewing Co.,844 N. Ridge Ave.,Lombard,IL,,https://www.facebook.com/afterthoughtbrewing/,,"-88.022255,41.905796",638205695.0,no,41.905796,-88.022255,no,no,no,https://untappd.com/AfterthoughtBrewing
10,Ae.9,Alter Brewing Co.,2300 Wisconsin Ave.,Downers Grove,IL,,http://www.alterbrewing.com/,tap room,"-88.041275,41.789803",112533248.0,no,41.789803000000006,-88.041275,yes,no,no,https://untappd.com/AlterBrewing_Company
11,Aeg6,Andersonville Brewing,5402 N. Clark St.,Chicago,IL,Andersonville,http://hamburgermarys.com/chicago/brewing/,kitchen & beer,"-87.6683,41.980015",111761212.0,yes,41.980015,-87.6683,no,no,yes,https://untappd.com/AndersonvilleBrewing
12,Aig2,Ancient Owl Brewing,,Lombard,IL,,http://ancientowlbrewing.com,,,,no,,,no,no,no,https://untappd.com/AncientOwlBrewing
13,ALb1,ALULU Brewpub,2011 S. Laflin St.,Chicago,IL,Pilsen,http://www.alulubrew.com/,kitchen & beer,"-87.66367,41.854782",111803409.0,yes,41.854782,-87.66367,no,no,yes,https://untappd.com/ALULUBrewPub
14,Amn5,Aleman,3304 N. Knox Ave.,Chicago,IL,Belmont Cragin,https://www.facebook.com/pages/Aleman-Brewing/264505396906121,,"-87.74291,41.940903",111755976.0,yes,41.940903000000006,-87.74291,no,no,no,https://untappd.com/Aleman
15,Ao.5,Arrowhead Ales Brewing Co.,2101 Calistoga Dr.,New Lenox,IL,,http://arrowheadales.com/home/,kitchen & beer,"-87.95716,41.482044",641298602.0,no,41.482044,-87.95716,no,no,yes,https://untappd.com/ArrowheadAles
16,Arg6,Alarmist Brewing,4055 W. Peterson Ave.,Chicago,IL,North Park,http://alarmistbrewing.com,tap room,"-87.73135,41.990097",636322558.0,yes,41.990097,-87.73135,yes,no,no,https://untappd.com/AlarmistBrewing
17,Au.6,Around the Bend Beer Co.,825 E. 99th St.,Chicago,IL,Pullman,http://aroundthebendbeer.com/,,"-87.60476,41.714752",605518775.0,yes,41.714752000000004,-87.60476,no,no,no,https://untappd.com/ATB
18,Auy6,Argus Brewery,11314 S. Front Ave.,Chicago,IL,Roseland,http://www.argusbrewery.com,tour,"-87.61184,41.688385",605517958.0,yes,41.688385,-87.61184,no,yes,no,https://untappd.com/ArgusBrewery
19,Ba.7,Byway Brewing Co.,2825 Carlson Dr.,Hammond,IN,,http://www.bywaybrewing.beer,kitchen & beer,,,no,,,no,no,yes,https://untappd.com/BywayBrewingCompany
20,Baw10,Bosacki's Home Brew,610 E. Hawley St.,Mundelein,IL,,http://www.bosackishomebrew.com/#!home/mainPage,tap room,"-87.99546,42.270542",119636660.0,no,42.270542,-87.99546,yes,no,no,https://untappd.com/BosackisHomeBrew
21,BBm6,BBGB Brewery & Hop Farm,2000 W Orchard Rd.,North Aurora,IL,,https://www.facebook.com/bbgbbrewery/,kitchen & beer,,,no,,,no,no,yes,https://untappd.com/BBGBBreweryHopFarm
